id,url,name,price,servings,serving_size,cost_per_serving,calories,protein,total_fat,trans_fat,saturated_fat,cholesterol,total_carbs,sugars,total_sugars,added_sugars,sodium,fiber,iron,potassium,vit_a,vit_c,calcium,trans_fat,vegan,gluten_free,kosher
4652,https://www.traderjoes.com/fearless-flyer/article/4652,For the Love of Chocolate Cake,3.99,3.0,Serving size 1/3 cake (87g),1.33,350,4,20,0,8,20,44,31,,,200,3,,,,,,0,0,0,0
4653,https://www.traderjoes.com/fearless-flyer/article/4653,Pancake Bread,3.99,8.0,Serving size 1/8 loaf (53g),0.49875,190,2,10,0,2.5,25,25,15,15,15,230,0,,,,,,0,0,0,0
4654,https://www.traderjoes.com/fearless-flyer/article/4654,Pizza Crusts,3.49,8.0,Serving size 1/4 crust (55g/1.9 oz),0.43625,150,5,2.5,0,0,0,28,1,,,330,1,,,,,,0,0,1,0
4655,https://www.traderjoes.com/fearless-flyer/article/4655,Sprouted Wheat Sourdough,3.99,20.0,Serving size 1 slice (24g),0.1995,90,7,0,0,0,0,14,1,1,,170,2,0.8,60,,,10,0,0,0,0
4656,https://www.traderjoes.com/fearless-flyer/article/4656,Almond Cashew Macadamia Beverage,2.29,4.0,Serving size 1 cup (240mL),0.5725,30,,2.5,0,0,0,1,0,0,0,120,,0.3,30,,,160,0,0,0,0
4657,https://www.traderjoes.com/fearless-flyer/article/4657,Cold Pressed Green Juice,3.99,1.0,Serving size 1 bottle (450mL),3.99,100,5,0,0,0,0,20,11,,,320,1,,,,,,0,0,0,1
4658,https://www.traderjoes.com/fearless-flyer/article/4658,Joe Coffee,3.99,,,,,,,,,,,,,,,,,,,,,,0,0,0
4659,https://www.traderjoes.com/fearless-flyer/article/4659,Matcha Green Tea,6.99,7.0,Serving size 1 packet (1.5g),0.9985714285714286,,0,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0
4660,https://www.traderjoes.com/fearless-flyer/article/4660,Organic Power of 7 Juice,3.99,4.0,Serving size 8 fl oz (240mL),0.9975,110,1,0,0,0,0,28,25,,,30,0,,,,,,0,0,0,0
4661,https://www.traderjoes.com/fearless-flyer/article/4661,French Fromage Slices,4.99,8.0,Serving size 1 slice (25g),0.62375,100,5,9,0,6,30,0,0,0,0,125,0,0,10,,,140,0,0,0,0
4662,https://www.traderjoes.com/fearless-flyer/article/4662,Organic Shredded 3 Cheese Blend,4.49,8.0,Serving size 1oz (28g/ 1/4 cup),0.56125,100,7,8,0,5,25,,0,0,0,170,0,0.1,30,,,200,0,0,0,0
4663,https://www.traderjoes.com/fearless-flyer/article/4663,Toscano with Black Pepper,9.99,,Serving size 1 oz (28g),,120,7,10,0,5,30,0,0,,,170,0,,,,,,0,0,0,0
4664,https://www.traderjoes.com/fearless-flyer/article/4664,Channa Masala,2.29,2.0,Serving size 1/2 package (142g),1.145,180,6,9,0,2,5,19,8,,,460,6,,,,,,0,0,0,0
4666,https://www.traderjoes.com/fearless-flyer/article/4666,Gone Berry Crazy,2.29,4.0,Serving size 6 pieces (38g),0.5725,100,,3.5,0,2.5,0,15,12,12,5,20,2,1,90,,,30,0,0,0,0
4668,https://www.traderjoes.com/fearless-flyer/article/4668,Organic Green Vegetable Foursome,2.99,4.0,Serving size 2/3 cup (85g),0.7475,30,1,1.5,0,0.5,0,3,0,0,0,90,2,0.8,210,,,30,0,0,0,0
4669,https://www.traderjoes.com/fearless-flyer/article/4669,Organic Wild Blueberries,2.99,2.5,Serving size 1 cup (140g),1.1960000000000002,80,0,0,0,0,0,20,15,15,0,5,5,0.4,60,,,10,0,0,0,1
4670,https://www.traderjoes.com/fearless-flyer/article/4670,Riced Cauliflower Bowl,2.99,2.5,Serving size 1 cup (119g),1.1960000000000002,120,5,7,0,1,0,11,2,2,0,160,3,1.7,250,,,90,0,1,0,0
4671,https://www.traderjoes.com/fearless-flyer/article/4671,Steel Cut Oatmeal,1.79,2.0,Serving size 1 package (227g),0.895,150,5,2.5,0,0,0,27,7,,,40,4,,,,,,0,0,0,0
4673,https://www.traderjoes.com/fearless-flyer/article/4673,Italian Spaghetti,0.99,,,,,,,,,,,,,,,,,,,,,,0,0,0
4674,https://www.traderjoes.com/fearless-flyer/article/4674,Jaipur Vegetables,1.99,2.0,Serving size 2/3 cup (140g),0.995,180,6,13,0,3.5,15,12,5,,0,420,3,1.4,230,,,80,0,0,0,1
4675,https://www.traderjoes.com/fearless-flyer/article/4675,Madras Lentils,1.99,2.0,Serving size 2/3 cup (140g),0.995,150,7,6,0,3,15,17,1,1,0,510,5,2.1,360,,,40,0,0,0,1
4676,https://www.traderjoes.com/fearless-flyer/article/4676,Marinara with Barolo Wine,3.49,5.0,Serving size 1/2 cup (125g),0.6980000000000001,100,2,5,0,0.5,0,11,6,6,0,540,2,,,,,,0,0,0,0
4677,https://www.traderjoes.com/fearless-flyer/article/4677,Organic Coconut Almond Chia Cereal,3.99,7.0,Serving size 2/3 cup (55g),0.5700000000000001,220,6,4,0,1,0,42,7,,,95,5,,150,,,,0,0,0,1
4678,https://www.traderjoes.com/fearless-flyer/article/4678,Spanish Organic Extra Virgin Olive Oil Spray,2.99,366.0,Serving size 1/3 second spray (0.37g),0.008169398907103826,,0,0,0,0,0,0,0,,,0,0,,,,,,0,0,0,1
4679,https://www.traderjoes.com/fearless-flyer/article/4679,Organic Toasted Sesame Dressing,3.49,12.0,Serving size 2 Tbsp (30mL),0.29083333333333333,130,,13,0,1.5,0,4,3,3,3,200,0,,,,,,0,0,0,0
4680,https://www.traderjoes.com/fearless-flyer/article/4680,Tikka Vegetables,1.99,2.0,Serving size 2/3 cup (140g),0.995,150,4,8,0,4,15,16,5,5,0,340,3,1.6,320,,,40,0,0,0,1
4681,https://www.traderjoes.com/fearless-flyer/article/4681,Umami Seasoning Blend,2.99,60.0,Serving size 1/4 tsp. (1g),0.049833333333333334,,0,0,0,0,0,0,0,0,0,140,0,0,0,,,0,0,0,0,0
4682,https://www.traderjoes.com/fearless-flyer/article/4682,Yellow Tadka Dal,1.99,2.0,Serving size 2/3 cup (140g),0.995,130,6,5,0,2,5,17,0,0,0,400,4,1.8,380,,,50,0,0,0,1
4683,https://www.traderjoes.com/fearless-flyer/article/4683,Malabari Paratha,1.99,10.0,Serving size 1/2 piece (40g),0.199,120,3,3.5,0,0.5,0,20,1,1,1,120,1,0.7,40,,,10,0,0,0,0
4684,https://www.traderjoes.com/fearless-flyer/article/4684,Double Dozen Tulips,10.99,,,,,,,,,,,,,,,,,,,,,,0,0,0
4685,https://www.traderjoes.com/fearless-flyer/article/4685,Dozen Roses,12.99,,,,,,,,,,,,,,,,,,,,,,0,0,0
4686,https://www.traderjoes.com/fearless-flyer/article/4686,Dozen Roses in a Vase,17.99,,,,,,,,,,,,,,,,,,,,,,0,0,0
4687,https://www.traderjoes.com/fearless-flyer/article/4687,Josie’s Mandarins,4.99,,,,,,,,,,,,,,,,,,,,,,0,0,0
4688,https://www.traderjoes.com/fearless-flyer/article/4688,Mirepoix,2.99,5.0,Serving size 3 oz (85g),0.5980000000000001,30,,0,0,0,0,6,3,,,40,2,,,,,,0,0,0,0
4690,https://www.traderjoes.com/fearless-flyer/article/4690,Turkey Corn Dogs,2.99,4.0,Serving size 1 corn dog (71g),0.7475,150,6,4.5,0,1.5,20,22,5,,,610,1,,,,,,0,0,0,0
4691,https://www.traderjoes.com/fearless-flyer/article/4691,Organic Creamy Tomato Soup,2.69,4.0,Serving size 1 cup (240 mL),0.6725,100,5,2,0,1.5,10,16,10,,,750,1,,500,,,,0,0,1,1
4693,https://www.traderjoes.com/fearless-flyer/article/4693,Organic Petite Sweet Potato Medley,2.99,,,,,,,,,,,,,,,,,,,,,,0,0,0
4694,https://www.traderjoes.com/fearless-flyer/article/4694,All Natural Stew Meat,8.49,,Serving size 4 oz (113g),,140,23,4,0,2,70,2,0,,,75,0,,,,,0,0,0,0,0
4695,https://www.traderjoes.com/fearless-flyer/article/4695,Avocado’s Number Guacamole To Go,3.99,6.0,Serving size 1 pack (57g),0.665,100,1,9,0,2.5,0,4,,,,300,2,,,,,,0,0,0,0
4696,https://www.traderjoes.com/fearless-flyer/article/4696,Boneless Center-Cut Pork Loin Chops,6.49,,Serving size 4 oz (112g),,190,23,10,0,3.5,75,0,0,0,0,60,0,0.9,380,,,30,0,0,0,0
4697,https://www.traderjoes.com/fearless-flyer/article/4697,Mushroom Medley Alfredo Sauce,4.99,6.0,Serving size 1/4 cup (57g),0.8316666666666667,120,3,11,0,5,30,3,2,2,0,260,0,0.1,70,,,80,0,0,0,0
4698,https://www.traderjoes.com/fearless-flyer/article/4698,Organic High Protein Tofu,2.49,5.0,Serving size 3 oz (84g/about 1/5 pkg),0.49800000000000005,130,14,7,0,1,0,3,0,0,0,15,0,,,,,,0,1,0,1
4699,https://www.traderjoes.com/fearless-flyer/article/4699,Organic Hearty Minestrone Soup,3.99,2.5,Serving size 1 cup (244g),1.596,100,4,2,0,0,0,17,4,4,0,630,3,,,,,,0,0,0,0
4700,https://www.traderjoes.com/fearless-flyer/article/4700,Organic Pea Soup,3.99,2.5,Serving size 8 oz (227g),1.596,90,4,3,0,0,0,13,6,,,530,3,,,,,,0,1,0,0
4701,https://www.traderjoes.com/fearless-flyer/article/4701,Homestyle Salsa Especial Medium,2.99,11.0,Serving size 2 Tbsp (30g),0.27181818181818185,10,0,0,0,0,0,1,,,0,160,0,,,,,,0,0,0,0
4702,https://www.traderjoes.com/fearless-flyer/article/4702,Sweet Italian Sausage & 4 Cheese Ravioli,3.49,2.5,Serving size 1 cup (100g),1.3960000000000001,240,13,13,0,5,25,20,0,0,0,160,0,0.2,140,,,80,0,0,0,0
4703,https://www.traderjoes.com/fearless-flyer/article/4703,Roasted Garlic Hummus,1.99,8.0,Serving size 2 Tbsp (28g),0.24875,60,2,4.5,0,0.5,0,4,1,,,125,1,,,,,,0,0,0,1
4704,https://www.traderjoes.com/fearless-flyer/article/4704,Whole Milk Greek Yogurt With Honey,4.99,4.0,Serving size 1 cup (227g),1.2475,300,8,17,0,10,70,28,24,,,110,0,,290,,,,0,0,0,1
4705,https://www.traderjoes.com/fearless-flyer/article/4705,Chili & Lime Rolled Corn Tortilla Chips,2.49,9.0,Serving size 1oz (28g/about 15 chips),0.27666666666666667,150,2,8,0,0.5,0,17,0,0,0,260,2,0.6,80,,,20,0,0,0,0
